Source,Fuel,Prime Mover,Cooling System,Notes,Median Value,Unit
NETL 2010a,Coal,IGCC,Recirculating,,360,gal/MWh
NETL 2010a,Coal,IGCC,Recirculating,,330,gal/MWh
NETL 2010a,Coal,IGCC,Recirculating,,318,gal/MWh
NETL 2007b,Coal,IGCC,Recirculating,,372,gal/MWh
NETL 2007b,Coal,IGCC,Recirculating,,390,gal/MWh
NETL 2007b,Coal,IGCC,Recirculating,,388,gal/MWh
NETL 2007b,Coal,IGCC,Recirculating,,439,gal/MWh
NETL 2010c,Coal,IGCC,Recirculating,,418,gal/MWh
NETL 2010a,Coal,IGCC with CCS,Recirculating,,522,gal/MWh
NETL 2010a,Coal,IGCC with CCS,Recirculating,,540,gal/MWh
NETL 2010a,Coal,IGCC with CCS,Recirculating,,558,gal/MWh
NETL 2010c,Coal,IGCC with CCS,Recirculating,,604,gal/MWh
WRA 2008,Coal,Generic,Recirculating,,541,gal/MWh
Gleick 1993,Coal,Generic,Recirculating,,687,gal/MWh
Hoffman et al. 2004,Coal,Generic,Recirculating,,1100,gal/MWh
Dziegielewski and Bik 2006,Coal,Generic,Recirculating,,700,gal/MWh
EPRI 2002,Coal,Generic,Recirculating,,480,gal/MWh
Gleick 1993,Coal,Generic,Once-through,,317,gal/MWh
Hoffman et al. 2004,Coal,Generic,Once-through,,100,gal/MWh
Dziegielewski and Bik 2006,Coal,Generic,Once-through,,200,gal/MWh
EPRI 2002,Coal,Generic,Once-through,,300,gal/MWh
EPRI 2002,Coal,Generic,Pond,,390,gal/MWh
Dziegielewski and Bik 2006,Coal,Generic,Pond,,700,gal/MWh
Gleick 1993,Coal,Fluidized Bed,Once-through,,211,gal/MWh
NETL 2010a,Coal,Subcritical with CCS,Recirculating,,942,gal/MWh
NETL 2010c,Coal,Subcritical with CCS,Recirculating,,900,gal/MWh
NETL 2010a,Coal,Supercritical with CCS,Recirculating,,846,gal/MWh
Zhai 2011,Coal,Supercritical with CCS,Recirculating,,815,gal/MWh
NETL 2010c,Coal,Supercritical with CCS,Recirculating,,907,gal/MWh
NETL 2009b,Coal,Subcritical Pulverized Coal,Recirculating,,479,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Recirculating,wet FGD,462,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Recirculating,dry FGD,437,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Recirculating,no FGD,394,gal/MWh
NETL 2010a,Coal,Subcritical Pulverized Coal,Recirculating,,510,gal/MWh
NETL 2007a,Coal,Subcritical Pulverized Coal,Recirculating,,664,gal/MWh
NETL 2010b,Coal,Subcritical Pulverized Coal,Recirculating,,553,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Once-through,wet FGD,138,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Once-through,dry FGD,113,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Once-through,no FGD,71,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Pond,wet FGD,804,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Pond,dry FGD,779,gal/MWh
NETL 2009a,Coal,Subcritical Pulverized Coal,Pond,no FGD,737,gal/MWh
NETL 2009b,Coal,Supercritical Pulverized Coal,Recirculating,,490,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Recirculating,wet FGD,518,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Recirculating,dry FGD,496,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Recirculating,no FGD,458,gal/MWh
NETL 2010a,Coal,Supercritical Pulverized Coal,Recirculating,,462,gal/MWh
NETL 2007a,Coal,Supercritical Pulverized Coal,Recirculating,,594,gal/MWh
Zhai 2011,Coal,Supercritical Pulverized Coal,Recirculating,,445,gal/MWh
NETL 2010c,Coal,Supercritical Pulverized Coal,Recirculating,,533,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Once-through,wet FGD,124,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Once-through,dry FGD,103,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Once-through,no FGD,64,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Pond,wet FGD,64,gal/MWh
NETL 2009a,Coal,Supercritical Pulverized Coal,Pond,dry FGD,42,gal/MWh
